Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Zollitsch C.W., O'Sullivan J., Kennedy O., Dold G., Morton J.J.L.",55880399400;57209180835;57192929269;57209181754;55613970800;,Tuning high-Q superconducting resonators by magnetic field reorientation,2019,AIP Advances,9,12,125225,,,,,10.1063/1.5129032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077241674&doi=10.1063%2f1.5129032&partnerID=40&md5=7ba600a2a3c2e8e09f093b886b8bf396,"London Centre for Nanotechnology, University College London, 17-19 Gordon Street, London, WCH1 0AH, United Kingdom; Department of Electronic and Electrical Engineering, UCL, London, WC1E 7JE, United Kingdom","Zollitsch, C.W., London Centre for Nanotechnology, University College London, 17-19 Gordon Street, London, WCH1 0AH, United Kingdom; O'Sullivan, J., London Centre for Nanotechnology, University College London, 17-19 Gordon Street, London, WCH1 0AH, United Kingdom, Department of Electronic and Electrical Engineering, UCL, London, WC1E 7JE, United Kingdom; Kennedy, O., London Centre for Nanotechnology, University College London, 17-19 Gordon Street, London, WCH1 0AH, United Kingdom; Dold, G., London Centre for Nanotechnology, University College London, 17-19 Gordon Street, London, WCH1 0AH, United Kingdom; Morton, J.J.L., London Centre for Nanotechnology, University College London, 17-19 Gordon Street, London, WCH1 0AH, United Kingdom",,,American Institute of Physics Inc.,21583226,,,,English,AIP Adv.,Article,Final,Open Access,Scopus,2-s2.0-85077241674
"Li P., Zhao L., Jiang Z., Yu M., Li Z., Li X.",57211234379;57188835796;57211831318;57202262211;57210963805;57214905718;,Self-Powered Flexible Sensor Based on the Graphene Modified P(VDF-TrFE) Electrospun Fibers for Pressure Detection,2019,Macromolecular Materials and Engineering,304,12,1900504,,,,,10.1002/mame.201900504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073920770&doi=10.1002%2fmame.201900504&partnerID=40&md5=10efa1a4ac5ba5a22016be849c4b3384,"State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Collaborative Innovation Center of Suzhou Nano Science and Technology Xi'an Jiaotong University, Xi'an, 710049, China; School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China","Li, P., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Collaborative Innovation Center of Suzhou Nano Science and Technology Xi'an Jiaotong University, Xi'an, 710049, China, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Zhao, L., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Collaborative Innovation Center of Suzhou Nano Science and Technology Xi'an Jiaotong University, Xi'an, 710049, China, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Jiang, Z., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Collaborative Innovation Center of Suzhou Nano Science and Technology Xi'an Jiaotong University, Xi'an, 710049, China, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Yu, M., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Collaborative Innovation Center of Suzhou Nano Science and Technology Xi'an Jiaotong University, Xi'an, 710049, China, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Li, Z., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Collaborative Innovation Center of Suzhou Nano Science and Technology Xi'an Jiaotong University, Xi'an, 710049, China, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Li, X., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Collaborative Innovation Center of Suzhou Nano Science and Technology Xi'an Jiaotong University, Xi'an, 710049, China, School of Mechanical Engineering, Xi'an Jiaotong University, Xi'an, 710049, China","Zhao, L.; State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Collaborative Innovation Center of Suzhou Nano Science and Technology Xi'an Jiaotong UniversityChina; email: libozhao@mail.xjtu.edu.cn",,Wiley-VCH Verlag,14387492,,MMENF,,English,Macromol. Mater. Eng.,Article,Final,,Scopus,2-s2.0-85073920770
"Snetkov P., Morozkina S., Uspenskaya M., Olekhnovich R.",57205168040;6507035544;6602189454;56572767000;,"Hyaluronan-based nanofibers: Fabrication, characterization and application",2019,Polymers,11,12,2036,,,,,10.3390/polym11122036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079090218&doi=10.3390%2fpolym11122036&partnerID=40&md5=ef8aeeb10c03646271bb5dc763fc83fd,"Institute BioEngineering, ITMO University, Kronverkskiy Prospekt, 49, St., Petersburg, 197101, Russian Federation","Snetkov, P., Institute BioEngineering, ITMO University, Kronverkskiy Prospekt, 49, St., Petersburg, 197101, Russian Federation; Morozkina, S., Institute BioEngineering, ITMO University, Kronverkskiy Prospekt, 49, St., Petersburg, 197101, Russian Federation; Uspenskaya, M., Institute BioEngineering, ITMO University, Kronverkskiy Prospekt, 49, St., Petersburg, 197101, Russian Federation; Olekhnovich, R., Institute BioEngineering, ITMO University, Kronverkskiy Prospekt, 49, St., Petersburg, 197101, Russian Federation","Snetkov, P.; Institute BioEngineering, ITMO University, Kronverkskiy Prospekt, 49, St., Russian Federation; email: ppsnetkov@itmo.ru",,MDPI AG,20734360,,,,English,Polym.,Review,Final,Open Access,Scopus,2-s2.0-85079090218
"Golysheva E.A., Samoilova R.I., De Zotti M., Toniolo C., Formaggio F., Dzuba S.A.",57195348639;7006030196;6505930444;36049241800;7004949718;25941893200;,Electron spin echo detection of stochastic molecular librations: Non-cooperative motions on solid surface,2019,Journal of Magnetic Resonance,309,,106621,,,,,10.1016/j.jmr.2019.106621,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073758261&doi=10.1016%2fj.jmr.2019.106621&partnerID=40&md5=6b785b7c750ef7792a68f82f0fbbc5e0,"Institute of Chemical Kinetics and Combustion, Russian Academy of Sciences, Novosibirsk, 630090, Russian Federation; Department of Physics, Novosibirsk State University, Novosibirsk, 630090, Russian Federation; Department of Chemical Sciences, University of Padova, Padova, 35131, Italy; Institute of Biomolecular Chemistry, Padova Unit, CNR, Padova, 35131, Italy","Golysheva, E.A., Institute of Chemical Kinetics and Combustion, Russian Academy of Sciences, Novosibirsk, 630090, Russian Federation, Department of Physics, Novosibirsk State University, Novosibirsk, 630090, Russian Federation; Samoilova, R.I., Institute of Chemical Kinetics and Combustion, Russian Academy of Sciences, Novosibirsk, 630090, Russian Federation; De Zotti, M., Department of Chemical Sciences, University of Padova, Padova, 35131, Italy; Toniolo, C., Department of Chemical Sciences, University of Padova, Padova, 35131, Italy, Institute of Biomolecular Chemistry, Padova Unit, CNR, Padova, 35131, Italy; Formaggio, F., Department of Chemical Sciences, University of Padova, Padova, 35131, Italy, Institute of Biomolecular Chemistry, Padova Unit, CNR, Padova, 35131, Italy; Dzuba, S.A., Institute of Chemical Kinetics and Combustion, Russian Academy of Sciences, Novosibirsk, 630090, Russian Federation, Department of Physics, Novosibirsk State University, Novosibirsk, 630090, Russian Federation","Dzuba, S.A.; Institute of Chemical Kinetics and Combustion, Ul. Institutskaya 3, Russian Federation; email: dzuba@kinetics.nsc.ru",,Academic Press Inc.,10907807,,JMARF,31669794,English,J. Magn. Reson.,Article,Final,,Scopus,2-s2.0-85073758261
"Garcia-Arellano G., Bernardot F., Karczewski G., Testelin C., Chamarro M.",57194692478;7801411001;24457570400;6602176182;6603907218;,Temperature dependence of the spin relaxation time of donor-bound electrons immersed in a CdTe quantum well,2019,Physical Review B,100,20,205305,,,,,10.1103/PhysRevB.100.205305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076282751&doi=10.1103%2fPhysRevB.100.205305&partnerID=40&md5=3fb5e49829fc95c9489a0cadcb3f0bc9,"Sorbonne Université, CNRS, Institut des NanoSciences de Paris, 4 place Jussieu, Paris, F-75005, France; Institute of Physics, Polish Academy of Sciences, Al. Lotników 32/46, Warsaw, PL-02668, Poland","Garcia-Arellano, G., Sorbonne Université, CNRS, Institut des NanoSciences de Paris, 4 place Jussieu, Paris, F-75005, France; Bernardot, F., Sorbonne Université, CNRS, Institut des NanoSciences de Paris, 4 place Jussieu, Paris, F-75005, France; Karczewski, G., Institute of Physics, Polish Academy of Sciences, Al. Lotników 32/46, Warsaw, PL-02668, Poland; Testelin, C., Sorbonne Université, CNRS, Institut des NanoSciences de Paris, 4 place Jussieu, Paris, F-75005, France; Chamarro, M., Sorbonne Université, CNRS, Institut des NanoSciences de Paris, 4 place Jussieu, Paris, F-75005, France","Garcia-Arellano, G.; Sorbonne Université, CNRS, Institut des NanoSciences de Paris, 4 place Jussieu, France",,American Physical Society,24699950,,,,English,Phys. Rev. B,Article,Final,,Scopus,2-s2.0-85076282751
"Ren X., Xu Z., Wang L., Meng K., Wang H., Zhao H.",57212267401;57212263685;57212277974;57212278624;55981079200;55878319800;,Silk fibroin/chitosan/halloysite composite medical dressing with antibacterial and rapid haemostatic properties,2019,Materials Research Express,6,12,125409,,,,,10.1088/2053-1591/ab5533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076351014&doi=10.1088%2f2053-1591%2fab5533&partnerID=40&md5=c0b99169808d74e5928e5e3c490a672d,"National Engineering Laboratory for Modern Silk, College of Textile and Clothing Engineering, Soochow University, No. 199 Ren'ai Road, Industrial Park, Suzhou, 215123, China; Nantong Textile and Silk Industrial Technology Research Institute, Jianghai Intellectual Park, No. 266 Xinshiji Ave, Tongzhou, Nantong, 226001, China","Ren, X., National Engineering Laboratory for Modern Silk, College of Textile and Clothing Engineering, Soochow University, No. 199 Ren'ai Road, Industrial Park, Suzhou, 215123, China; Xu, Z., National Engineering Laboratory for Modern Silk, College of Textile and Clothing Engineering, Soochow University, No. 199 Ren'ai Road, Industrial Park, Suzhou, 215123, China; Wang, L., National Engineering Laboratory for Modern Silk, College of Textile and Clothing Engineering, Soochow University, No. 199 Ren'ai Road, Industrial Park, Suzhou, 215123, China; Meng, K., National Engineering Laboratory for Modern Silk, College of Textile and Clothing Engineering, Soochow University, No. 199 Ren'ai Road, Industrial Park, Suzhou, 215123, China; Wang, H., National Engineering Laboratory for Modern Silk, College of Textile and Clothing Engineering, Soochow University, No. 199 Ren'ai Road, Industrial Park, Suzhou, 215123, China; Zhao, H., National Engineering Laboratory for Modern Silk, College of Textile and Clothing Engineering, Soochow University, No. 199 Ren'ai Road, Industrial Park, Suzhou, 215123, China, Nantong Textile and Silk Industrial Technology Research Institute, Jianghai Intellectual Park, No. 266 Xinshiji Ave, Tongzhou, Nantong, 226001, China",,,Institute of Physics Publishing,20531591,,,,English,Mater. Res. Express,Article,Final,,Scopus,2-s2.0-85076351014
"Khalifa M., Anandhan S.",57192425387;6506019719;,PVDF Nanofibers with Embedded Polyaniline-Graphitic Carbon Nitride Nanosheet Composites for Piezoelectric Energy Conversion,2019,ACS Applied Nano Materials,2,11,,7328,7339,,,10.1021/acsanm.9b01812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074685836&doi=10.1021%2facsanm.9b01812&partnerID=40&md5=4fd221e7370afbfce17ef04c85c383f7,"Department of Metallurgical and Materials Engineering, National Institute of Technology Karnataka, Mangaluru, Karnataka, 575025, India","Khalifa, M., Department of Metallurgical and Materials Engineering, National Institute of Technology Karnataka, Mangaluru, Karnataka, 575025, India; Anandhan, S., Department of Metallurgical and Materials Engineering, National Institute of Technology Karnataka, Mangaluru, Karnataka, 575025, India","Anandhan, S.; Department of Metallurgical and Materials Engineering, National Institute of Technology KarnatakaIndia; email: anandtmg@gmail.com",,American Chemical Society,25740970,,,,English,ACS Appl. Nano Mat.,Article,Final,,Scopus,2-s2.0-85074685836
"El-Shazly A.N., Rezk M.Y., Gameel K.M., Allam N.K.",55900753200;57205516904;57204275783;15847662300;,Electrospun Lead-Free All-Inorganic Double Perovskite Nanofibers for Photovoltaic and Optoelectronic Applications,2019,ACS Applied Nano Materials,2,11,,7085,7094,,,10.1021/acsanm.9b01613,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075769368&doi=10.1021%2facsanm.9b01613&partnerID=40&md5=3389f2ca099e66905adc7960884720bc,"Energy Materials Laboratory, School of Sciences and Engineering, American University in Cairo (AUC), New Cairo, 11835, Egypt; Central Metallurgical Research and Development Institute (CMRDI), P.O. Box 87, Helwan, Cairo, 11422, Egypt","El-Shazly, A.N., Energy Materials Laboratory, School of Sciences and Engineering, American University in Cairo (AUC), New Cairo, 11835, Egypt, Central Metallurgical Research and Development Institute (CMRDI), P.O. Box 87, Helwan, Cairo, 11422, Egypt; Rezk, M.Y., Energy Materials Laboratory, School of Sciences and Engineering, American University in Cairo (AUC), New Cairo, 11835, Egypt; Gameel, K.M., Energy Materials Laboratory, School of Sciences and Engineering, American University in Cairo (AUC), New Cairo, 11835, Egypt; Allam, N.K., Energy Materials Laboratory, School of Sciences and Engineering, American University in Cairo (AUC), New Cairo, 11835, Egypt","Allam, N.K.; Energy Materials Laboratory, School of Sciences and Engineering, American University in Cairo (AUC)Egypt; email: nageh.allam@aucegypt.edu",,American Chemical Society,25740970,,,,English,ACS Appl. Nano Mat.,Article,Final,,Scopus,2-s2.0-85075769368
"Borovkov V.I., Shchegoleva L.N.",7101962584;6603940195;,Magnetic Resonance Characteristics of Negative Polarons in Neat Poly(3-hexyl-thiophene),2019,Journal of Physical Chemistry C,123,46,,28058,28065,,,10.1021/acs.jpcc.9b08331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075048196&doi=10.1021%2facs.jpcc.9b08331&partnerID=40&md5=5574fe8b35c76a6dce07578cbf5d7b5d,"Voevodsky Institute of Chemical Kinetics and Combustion, SB RAS, 3, Institutskaya Str., Novosibirsk, 630090, Russian Federation; Novosibirsk State University, 2, Pirogova Str., Novosibirsk, 630090, Russian Federation; Vorozhtsov Novosibirsk Institute of Organic Chemistry, SB RAS, 9, Akad. Lavrent'ev Avenue, Novosibirsk, 630090, Russian Federation","Borovkov, V.I., Voevodsky Institute of Chemical Kinetics and Combustion, SB RAS, 3, Institutskaya Str., Novosibirsk, 630090, Russian Federation, Novosibirsk State University, 2, Pirogova Str., Novosibirsk, 630090, Russian Federation; Shchegoleva, L.N., Vorozhtsov Novosibirsk Institute of Organic Chemistry, SB RAS, 9, Akad. Lavrent'ev Avenue, Novosibirsk, 630090, Russian Federation","Borovkov, V.I.; Voevodsky Institute of Chemical Kinetics and Combustion, SB RAS, 3, Institutskaya Str., Russian Federation; email: borovkov@kinetics.nsc.ru",,American Chemical Society,19327447,,,,English,J. Phys. Chem. C,Article,Final,,Scopus,2-s2.0-85075048196
"Gotovko S.K., Svistov L.E., Kuzmenko A.M., Pimenov A., Zhitomirsky M.E.",57201350830;6603314685;23994217200;55880124500;7004275599;,Electron spin resonance in spiral antiferromagnet linarite: Theory and experiment,2019,Physical Review B,100,17,174412,,,,,10.1103/PhysRevB.100.174412,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075506200&doi=10.1103%2fPhysRevB.100.174412&partnerID=40&md5=72827f4e4ef4e2d0ce1584d2eb301915,"P. L. Kapitza Institute for Physical Problems, Russian Academy of Sciences, Moscow, 119334, Russian Federation; National Research University Higher School of Economics, Moscow, 101000, Russian Federation; Prokhorov General Physics Institute, Russian Academy of Sciences, Moscow, 119991, Russian Federation; Institute of Solid State Physics, Vienna University of Technology, Vienna, 1040, Austria; Université Grenoble Alpes, CEA, INAC-PHELIQS, Grenoble, F-38000, France","Gotovko, S.K., P. L. Kapitza Institute for Physical Problems, Russian Academy of Sciences, Moscow, 119334, Russian Federation, National Research University Higher School of Economics, Moscow, 101000, Russian Federation; Svistov, L.E., P. L. Kapitza Institute for Physical Problems, Russian Academy of Sciences, Moscow, 119334, Russian Federation; Kuzmenko, A.M., Prokhorov General Physics Institute, Russian Academy of Sciences, Moscow, 119991, Russian Federation; Pimenov, A., Institute of Solid State Physics, Vienna University of Technology, Vienna, 1040, Austria; Zhitomirsky, M.E., Université Grenoble Alpes, CEA, INAC-PHELIQS, Grenoble, F-38000, France",,,American Physical Society,24699950,,,,English,Phys. Rev. B,Article,Final,,Scopus,2-s2.0-85075506200
"Piyasin P., Yensano R., Pinitsoontorn S.",57211981050;55987672800;6507816542;,Size-controllable melt-electrospun polycaprolactone (PCL) fibers with a sodium chloride additive,2019,Polymers,11,11,1768,,,,,10.3390/polym11111768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075578072&doi=10.3390%2fpolym11111768&partnerID=40&md5=06db1698cf3dbba9db37d37f8cc83c43,"Department of Physics, Faculty of Science, Khon Kaen University, Khon Kaen, 40002, Thailand; Institute of Nanomaterials Research and Innovation for Energy (IN-RIE), Research Network of NANOTEC-KKU (RNN), Khon Kaen University, Khon Kaen, 40002, Thailand","Piyasin, P., Department of Physics, Faculty of Science, Khon Kaen University, Khon Kaen, 40002, Thailand; Yensano, R., Department of Physics, Faculty of Science, Khon Kaen University, Khon Kaen, 40002, Thailand, Institute of Nanomaterials Research and Innovation for Energy (IN-RIE), Research Network of NANOTEC-KKU (RNN), Khon Kaen University, Khon Kaen, 40002, Thailand; Pinitsoontorn, S., Department of Physics, Faculty of Science, Khon Kaen University, Khon Kaen, 40002, Thailand, Institute of Nanomaterials Research and Innovation for Energy (IN-RIE), Research Network of NANOTEC-KKU (RNN), Khon Kaen University, Khon Kaen, 40002, Thailand","Pinitsoontorn, S.; Department of Physics, Faculty of Science, Khon Kaen UniversityThailand; email: psupree@kku.ac.th",,MDPI AG,20734360,,,,English,Polym.,Article,Final,Open Access,Scopus,2-s2.0-85075578072
"Rahimtoroghi E., Kasra M., Hayes D.",57216395120;56895915400;37015393600;,Yarn Reinforced Gelatin Hydrogel As A New Scaffold For Tissue Engineering,2019,"2019 26th National and 4th International Iranian Conference on Biomedical Engineering, ICBME 2019",,,9030398,66,69,,,10.1109/ICBME49163.2019.9030398,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083372282&doi=10.1109%2fICBME49163.2019.9030398&partnerID=40&md5=ffb071517f09badc129f0b81b5a02f97,"Amirkabir University of Technology (Tehran Polytechnic), Department of Biomedical Engineering, Tehran, Iran; Pennsylvania State University, Department of Biomedical Engineering, University Park, PA  16802, United States","Rahimtoroghi, E., Amirkabir University of Technology (Tehran Polytechnic), Department of Biomedical Engineering, Tehran, Iran; Kasra, M., Amirkabir University of Technology (Tehran Polytechnic), Department of Biomedical Engineering, Tehran, Iran; Hayes, D., Pennsylvania State University, Department of Biomedical Engineering, University Park, PA  16802, United States",,,Institute of Electrical and Electronics Engineers Inc.,,9.78E+12,,,English,"Natl. Int. Iranian Conf. Biomed. Eng., ICBME",Conference Paper,Final,,Scopus,2-s2.0-85083372282
"Liu M.-H., Li T.-T., Wang X., Liu D.-Y., Yuan N., Zhang D.-L., Tian Y.",57194049289;57211840947;57210421296;57194765498;57188834942;7405355768;7402841164;,Synthesis and Er3+ spectroscopic property of Er3+/Yb3+-codoped CaIn2O4 nano-fibers for thermometry,2019,Journal of Luminescence,215,,116703,,,,,10.1016/j.jlumin.2019.116703,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070587184&doi=10.1016%2fj.jlumin.2019.116703&partnerID=40&md5=7fb52bf265baf5e1154d3cc14d730e7b,"Department of Opto-electronics and Information Engineering, School of Precision Instruments and Opto-electronics Engineering, and Key Laboratory of Optoelectronic Information Technology (Ministry of Education), Tianjin University, Tianjin, 300072, China; Department of Mechanical Engineering and Materials, Tianjin Sino-German University of Applied Sciences, No. 2 Yanshan Road, Haihe Education Park, Tianjin, 300350, China; Key Lab of Advanced Transducers and Intelligent Control System (Ministry of Education), School of Physics and Optoelectronics, Taiyuan University of Technology, Taiyuan, 030024, China","Liu, M.-H., Department of Opto-electronics and Information Engineering, School of Precision Instruments and Opto-electronics Engineering, and Key Laboratory of Optoelectronic Information Technology (Ministry of Education), Tianjin University, Tianjin, 300072, China; Li, T.-T., Department of Opto-electronics and Information Engineering, School of Precision Instruments and Opto-electronics Engineering, and Key Laboratory of Optoelectronic Information Technology (Ministry of Education), Tianjin University, Tianjin, 300072, China; Wang, X., Department of Opto-electronics and Information Engineering, School of Precision Instruments and Opto-electronics Engineering, and Key Laboratory of Optoelectronic Information Technology (Ministry of Education), Tianjin University, Tianjin, 300072, China; Liu, D.-Y., Department of Opto-electronics and Information Engineering, School of Precision Instruments and Opto-electronics Engineering, and Key Laboratory of Optoelectronic Information Technology (Ministry of Education), Tianjin University, Tianjin, 300072, China; Yuan, N., Department of Mechanical Engineering and Materials, Tianjin Sino-German University of Applied Sciences, No. 2 Yanshan Road, Haihe Education Park, Tianjin, 300350, China; Zhang, D.-L., Department of Opto-electronics and Information Engineering, School of Precision Instruments and Opto-electronics Engineering, and Key Laboratory of Optoelectronic Information Technology (Ministry of Education), Tianjin University, Tianjin, 300072, China; Tian, Y., Key Lab of Advanced Transducers and Intelligent Control System (Ministry of Education), School of Physics and Optoelectronics, Taiyuan University of Technology, Taiyuan, 030024, China","Zhang, D.-L.; Department of Opto-electronics and Information Engineering, School of Precision Instruments and Opto-electronics Engineering, and Key Laboratory of Optoelectronic Information Technology (Ministry of Education), Tianjin UniversityChina; email: dlzhang@tju.edu.cn",,Elsevier B.V.,222313,,JLUMA,,English,J Lumin,Article,Final,,Scopus,2-s2.0-85070587184
Doll A.,55338998900;,Pulsed and continuous-wave magnetic resonance spectroscopy using a low-cost software-defined radio,2019,AIP Advances,9,11,115110,,,,,10.1063/1.5127746,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075270313&doi=10.1063%2f1.5127746&partnerID=40&md5=e2baa85727d4a7e21a0d7de6dffc01f7,"Laboratory of Nanomagnetism and Oxides, SPEC, CEA, CNRS, University Paris-Saclay, CEA Saclay, Gif-sur-Yvette, 91191, France","Doll, A., Laboratory of Nanomagnetism and Oxides, SPEC, CEA, CNRS, University Paris-Saclay, CEA Saclay, Gif-sur-Yvette, 91191, France","Doll, A.; Laboratory of Nanomagnetism and Oxides, SPEC, CEA, CNRS, University Paris-Saclay, CEA SaclayFrance; email: andrin.doll@alumni.ethz.ch",,American Institute of Physics Inc.,21583226,,,,English,AIP Adv.,Article,Final,Open Access,Scopus,2-s2.0-85075270313
"Hayashida S., Blosser D., Povarov K.Y., Yan Z., Gvasaliya S., Ponomaryov A.N., Zvyagin S.A., Zheludev A.",56797776200;57198811320;47861340800;57205404699;6701559205;15119748600;56239027700;35494821000;,One- A nd three-dimensional quantum phase transitions and anisotropy in Rb2Cu2Mo3 O12,2019,Physical Review B,100,13,134427,,,,,10.1103/PhysRevB.100.134427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074408071&doi=10.1103%2fPhysRevB.100.134427&partnerID=40&md5=549dea754aa0202d20f9fef7ea043147,"Laboratory for Solid State Physics, ETH Zürich, Zürich, 8093, Switzerland; Dresden High Magnetic Field Laboratory (HLD-EMFL), Helmholtz-Zentrum Dresden-Rossendorf, Dresden, 01328, Germany","Hayashida, S., Laboratory for Solid State Physics, ETH Zürich, Zürich, 8093, Switzerland; Blosser, D., Laboratory for Solid State Physics, ETH Zürich, Zürich, 8093, Switzerland; Povarov, K.Y., Laboratory for Solid State Physics, ETH Zürich, Zürich, 8093, Switzerland; Yan, Z., Laboratory for Solid State Physics, ETH Zürich, Zürich, 8093, Switzerland; Gvasaliya, S., Laboratory for Solid State Physics, ETH Zürich, Zürich, 8093, Switzerland; Ponomaryov, A.N., Dresden High Magnetic Field Laboratory (HLD-EMFL), Helmholtz-Zentrum Dresden-Rossendorf, Dresden, 01328, Germany; Zvyagin, S.A., Dresden High Magnetic Field Laboratory (HLD-EMFL), Helmholtz-Zentrum Dresden-Rossendorf, Dresden, 01328, Germany; Zheludev, A., Laboratory for Solid State Physics, ETH Zürich, Zürich, 8093, Switzerland",,,American Physical Society,24699950,,,,English,Phys. Rev. B,Article,Final,,Scopus,2-s2.0-85074408071
"Guchhait S., Arjun U., Anjana P.K., Sahoo M., Thirumurugan A., Medhi A., Skourski Y., Koo B., Sichelschmidt J., Schmidt B., Baenitz M., Nath R.",57214347991;57188998545;57195032531;14039346500;57001280600;13404734000;55248131200;57208588818;8041961400;7402828563;7003275984;9239082700;,Case study of bilayered spin- 12 square lattice compound VO(HCOO)2·(H2 O) case study of bilayered spin- 12 square lattice ... S. Guchhait et al.,2019,Physical Review Materials,3,10,104409,,,,,10.1103/PhysRevMaterials.3.104409,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074416337&doi=10.1103%2fPhysRevMaterials.3.104409&partnerID=40&md5=e394c7b6da464d9bf42bc960eabaa8fa,"School of Physics, Indian Institute of Science Education and Research, Thiruvananthapuram, 695551, India; School of Chemistry, Indian Institute of Science Education and Research, Thiruvananthapuram, 695551, India; Department of Physics, University of Kerala, Kariavattom, Thiruvananthapuram, 695581, India; Dresden High Magnetic Field Laboratory (HLD-EMFL), Helmholtz-Zentrum Dresden-Rossendorf, Dresden, 01328, Germany; Max Planck Institute for Chemical Physics of Solids, Nthnitzer Str. 40, Dresden, 01187, Germany","Guchhait, S., School of Physics, Indian Institute of Science Education and Research, Thiruvananthapuram, 695551, India; Arjun, U., School of Physics, Indian Institute of Science Education and Research, Thiruvananthapuram, 695551, India; Anjana, P.K., School of Chemistry, Indian Institute of Science Education and Research, Thiruvananthapuram, 695551, India; Sahoo, M., Department of Physics, University of Kerala, Kariavattom, Thiruvananthapuram, 695581, India; Thirumurugan, A., School of Chemistry, Indian Institute of Science Education and Research, Thiruvananthapuram, 695551, India; Medhi, A., School of Physics, Indian Institute of Science Education and Research, Thiruvananthapuram, 695551, India; Skourski, Y., Dresden High Magnetic Field Laboratory (HLD-EMFL), Helmholtz-Zentrum Dresden-Rossendorf, Dresden, 01328, Germany; Koo, B., Max Planck Institute for Chemical Physics of Solids, Nthnitzer Str. 40, Dresden, 01187, Germany; Sichelschmidt, J., Max Planck Institute for Chemical Physics of Solids, Nthnitzer Str. 40, Dresden, 01187, Germany; Schmidt, B., Max Planck Institute for Chemical Physics of Solids, Nthnitzer Str. 40, Dresden, 01187, Germany; Baenitz, M., Max Planck Institute for Chemical Physics of Solids, Nthnitzer Str. 40, Dresden, 01187, Germany; Nath, R., School of Physics, Indian Institute of Science Education and Research, Thiruvananthapuram, 695551, India","Guchhait, S.; School of Physics, Indian Institute of Science Education and ResearchIndia",,American Physical Society,24759953,,,,English,Physic. Rev. Mat.,Article,Final,,Scopus,2-s2.0-85074416337
